376,331,349,340,340,327,357,337,337,338,338,348,337
742,708,706,711,711,711,738,703,701,714,708,718,707
1116,1072,1070,1080,1089,1078,1096,1095,1066,1102,1069,1058,1082
1453,1439,1438,1434,1443,1441,1470,1441,1441,1444,1441,1428,1425
1854,1825,1836,1835,1821,1822,1846,1835,1828,1846,1846,1805,1842
2174,2167,2167,2168,2168,2157,2177,2168,2168,2168,2167,2165,2171
2576,2536,2543,2525,2516,2536,2557,2519,2528,2544,2543,2543,2528
2927,2906,2909,2908,2918,2914,2909,2914,2906,2913,2912,2912,2913
3300,3271,3272,3273,3265,3267,3289,3265,3274,3273,3273,3267,3280
3684,3648,3649,3647,3660,3633,3666,3654,3627,3660,3647,3644,3638
4023,3992,4015,4005,4005,3987,4024,4006,3994,4012,3999,3998,3999
4378,4351,4356,4362,4351,4350,4367,4356,4349,4362,4356,4349,4355
4770,4724,4730,4743,4745,4709,4749,4740,4735,4757,4740,4728,4753
5137,5111,5124,5117,5118,5117,5133,5124,5090,5142,5104,5099,5101
5493,5460,5481,5457,5480,5460,5478,5475,5483,5470,5460,5458,5470
5831,5828,5833,5829,5830,5828,5839,5829,5827,5853,5829,5827,5827
