11,-34,-16,-25,-25,-38,-8,-28,-28,-27,-27,-17,-28
12,-22,-24,-19,-19,-19,8,-27,-29,-16,-22,-12,-23
20,-24,-26,-16,-7,-18,0,-1,-30,6,-27,-38,-14
-8,-22,-23,-27,-18,-20,9,-20,-20,-17,-20,-33,-36
28,-1,10,9,-5,-4,20,9,2,20,20,-21,16
-17,-24,-24,-23,-23,-34,-14,-23,-23,-23,-24,-26,-20
19,-21,-14,-32,-41,-21,0,-38,-29,-13,-14,-14,-29
5,-16,-13,-14,-4,-8,-13,-8,-16,-9,-10,-10,-9
13,-16,-15,-14,-22,-20,2,-22,-13,-14,-14,-20,-7
32,-4,-3,-5,8,-19,14,2,-25,8,-5,-8,-14
5,-26,-3,-13,-13,-31,6,-12,-24,-6,-19,-20,-19
-5,-32,-27,-21,-32,-33,-16,-27,-34,-21,-27,-34,-28
22,-24,-18,-5,-3,-39,1,-8,-13,9,-8,-20,5
24,-2,11,4,5,4,20,11,-23,29,-9,-14,-12
14,-19,2,-22,1,-19,-1,-4,4,-9,-19,-21,-9
-13,-16,-11,-15,-14,-16,-5,-15,-17,9,-15,-17,-17
