492,488,493,492,488,486,500,495,483,489,488,489,495,489,489,484,491,489,488,495,486,489,489,488,502,486,488,489,495,484,489,484,491,489,500,488,489,493,488,489,494,484,491,489,491,488,491,491,493,489,484,493,493,489,489,484,499,489
851,840,851,851,840,840,851,852,840,849,850,850,850,840,840,840,850,840,840,840,849,845,850,850,855,851,840,840,840,838,845,838,852,840,851,840,852,850,840,850,850,840,851,840,840,850,850,850,849,851,840,850,850,850,850,850,853,850
1224,1213,1224,1212,1205,1204,1235,1224,1205,1204,1203,1203,1205,1205,1212,1204,1204,1205,1204,1205,1203,1203,1204,1205,1240,1205,1205,1205,1205,1204,1204,1204,1203,1204,1235,1203,1205,1204,1212,1205,1205,1203,1205,1205,1204,1203,1205,1203,1217,1205,1203,1205,1205,1203,1203,1203,1205,1205
1572,1557,1584,1565,1552,1560,1586,1579,1564,1564,1564,1564,1570,1562,1564,1552,1564,1565,1561,1564,1561,1564,1562,1570,1586,1570,1564,1557,1570,1552,1562,1551,1570,1562,1586,1551,1570,1565,1552,1570,1565,1532,1570,1564,1565,1570,1571,1570,1576,1570,1560,1570,1564,1562,1564,1564,1565,1569
1958,1939,1956,1954,1946,1953,1956,1945,1939,1946,1948,1946,1945,1949,1941,1946,1949,1951,1946,1954,1948,1949,1948,1951,1957,1954,1945,1946,1949,1937,1941,1938,1946,1948,1957,1948,1945,1949,1945,1948,1950,1936,1957,1948,1948,1948,1951,1946,1956,1956,1945,1954,1949,1948,1948,1949,1956,1945
2322,2300,2323,2317,2304,2308,2324,2322,2306,2301,2303,2300,2318,2304,2303,2301,2301,2307,2303,2314,2303,2303,2303,2301,2325,2303,2303,2307,2316,2300,2301,2300,2301,2304,2325,2283,2316,2303,2306,2303,2304,2300,2304,2303,2303,2301,2303,2300,2320,2317,2303,2303,2300,2301,2301,2303,2306,2304
2675,2661,2672,2675,2650,2674,2672,2676,2650,2649,2650,2649,2673,2650,2653,2650,2649,2668,2650,2650,2650,2650,2650,2650,2672,2649,2650,2650,2650,2649,2650,2662,2649,2649,2675,2650,2671,2650,2650,2653,2664,2649,2650,2665,2650,2650,2649,2650,2672,2668,2664,2665,2650,2650,2652,2649,2650,2670
3040,3013,3020,3015,3013,3013,3037,3037,3013,3013,3012,3013,3033,3013,3014,3013,3014,3014,3013,3014,3013,3013,3013,3014,3042,3013,3014,3014,3022,3013,3013,3011,3014,3014,3037,3013,3016,3013,3014,3014,3014,3013,3014,3014,3014,3012,3013,3014,3014,3023,3012,3013,3013,3013,3013,3013,3013,3016
3404,3394,3418,3418,3404,3408,3418,3413,3394,3394,3407,3405,3409,3404,3394,3398,3394,3404,3394,3419,3406,3403,3407,3404,3418,3414,3394,3404,3407,3388,3394,3388,3394,3404,3423,3401,3408,3403,3388,3404,3404,3407,3407,3407,3394,3414,3407,3403,3418,3407,3405,3414,3414,3414,3408,3408,3406,3405
3759,3730,3759,3759,3732,3733,3759,3759,3732,3732,3732,3732,3759,3733,3731,3732,3732,3733,3732,3759,3733,3732,3730,3732,3759,3730,3732,3732,3733,3730,3731,3730,3732,3732,3762,3730,3732,3731,3732,3732,3732,3730,3733,3732,3759,3732,3759,3732,3758,3759,3732,3732,3731,3730,3730,3732,3767,3759
4137,4124,4139,4134,4128,4128,4140,4140,4124,4124,4124,4123,4139,4124,4124,4124,4124,4126,4128,4134,4129,4124,4132,4124,4140,4124,4124,4124,4137,4124,4124,4124,4124,4124,4141,4125,4126,4128,4124,4124,4134,4124,4124,4124,4135,4124,4126,4124,4136,4136,4124,4133,4124,4133,4128,4124,4139,4126
4518,4487,4519,4511,4497,4509,4518,4517,4507,4497,4497,4504,4514,4504,4505,4504,4504,4504,4497,4510,4486,4486,4504,4504,4519,4504,4505,4497,4510,4487,4508,4495,4504,4497,4518,4486,4509,4486,4487,4497,4504,4486,4504,4501,4505,4486,4504,4504,4509,4509,4496,4486,4486,4486,4486,4504,4486,4505
4877,4861,4881,4870,4870,4870,4881,4881,4868,4860,4870,4856,4875,4870,4859,4859,4869,4870,4870,4870,4873,4868,4868,4869,4874,4859,4870,4870,4871,4855,4856,4856,4868,4869,4881,4855,4870,4859,4856,4860,4870,4855,4870,4870,4869,4859,4870,4864,4871,4877,4855,4868,4868,4859,4859,4868,4871,4870
5230,5202,5241,5223,5216,5219,5241,5227,5223,5212,5220,5216,5233,5223,5224,5216,5220,5223,5216,5225,5224,5225,5225,5224,5245,5242,5220,5219,5224,5211,5216,5219,5211,5219,5244,5223,5234,5227,5219,5212,5224,5220,5227,5224,5241,5225,5241,5223,5226,5245,5219,5225,5240,5225,5227,5240,5241,5220
5595,5581,5595,5595,5581,5581,5596,5595,5585,5581,5581,5579,5592,5579,5581,5585,5585,5585,5585,5581,5534,5585,5592,5575,5596,5593,5579,5592,5595,5579,5579,5581,5579,5593,5595,5575,5595,5585,5585,5585,5585,5579,5585,5579,5585,5592,5585,5585,5595,5595,5584,5592,5579,5585,5575,5595,5585,5595
5972,5957,5967,5972,5960,5969,5967,5973,5960,5960,5960,5960,5972,5962,5960,5960,5960,5962,5960,5969,5960,5960,5960,5960,5967,5960,5960,5962,5965,5960,5960,5957,5963,5960,5972,5960,5963,5960,5960,5960,5962,5957,5962,5960,5962,5960,5962,5962,5968,5965,5960,5962,5960,5960,5960,5963,5969,5962
