"rowid","ProjectID","MIDAS","LakeTown"
1,2,5786,"Sebago Lake, Sebago"
2,46,5280,"Messalonskee Lake, Belgrade"
3,51,9661,"Cathance Lake, No. 14 PLT"
4,58,4328,"Branch Lake, Ellsworth"
5,75,3748,"Auburn Lake, Auburn"
6,88,3796,"Sabattus Pond, Greene"
7,119,78,"Embden Pond, Embden"
8,124,3694,"Panther Pond, Raymond"
9,127,70,"Wesserunsett Lake, Madison"
10,132,4852,"Megunticook Lake, Camden"
11,141,5814,"Echo Lake (Crotched Pond), Fayette"
12,155,1736,"Drews (Meduxnekeag) Lake, Linneus"
13,211,4344,"Lower Patten Pond, Surry"
