377,338,NaN,NaN,362,NaN,NaN,NaN,333,341,NaN,NaN,NaN
741,704,NaN,NaN,736,NaN,NaN,NaN,718,740,NaN,NaN,NaN
1114,1080,NaN,NaN,1103,NaN,NaN,NaN,1080,1093,NaN,NaN,NaN
NaN,1438,NaN,NaN,1485,NaN,NaN,NaN,1440,1447,NaN,NaN,NaN
1854,1817,NaN,NaN,1844,NaN,NaN,NaN,1823,1844,NaN,NaN,NaN
NaN,2166,NaN,NaN,2181,2162,NaN,NaN,NaN,2167,NaN,2163,NaN
NaN,NaN,NaN,NaN,2555,2523,2547,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,2922,NaN,NaN,NaN,NaN,NaN,NaN,2904,NaN
NaN,NaN,3293,NaN,3293,NaN,3294,NaN,NaN,3294,3275,NaN,NaN
NaN,NaN,NaN,NaN,3666,NaN,3667,NaN,3640,NaN,3656,3638,NaN
NaN,NaN,NaN,4021,4021,NaN,4021,4020,3999,NaN,4013,NaN,4020
NaN,NaN,NaN,NaN,4369,NaN,4373,4364,NaN,4367,NaN,NaN,NaN
4783,NaN,NaN,4752,4754,4716,4740,4747,4722,NaN,4725,NaN,4748
NaN,5120,5128,5128,5132,5110,NaN,5119,5093,NaN,5118,5111,5125
NaN,NaN,5469,5467,5486,5459,5470,NaN,NaN,NaN,5465,NaN,NaN
NaN,NaN,5837,NaN,5840,5827,NaN,NaN,NaN,NaN,NaN,5821,5829
